time(s),A,B,C,D
3432,-174,-27,264,-160
3433,-215,163,127,-176
3434,154,159,-186,205
3435,0,-54,-175,-29
3436,237,290,44,-35
3437,164,-273,120,96
3438,126,-39,71,210
3439,-288,99,0,34
3440,273,-98,-261,-273
3441,207,-70,-13,-129
3442,152,-220,193,-17
3443,-157,150,50,-287
3444,97,219,-206,-106
3445,-144,-221,-165,-47
3446,-122,70,-295,115
3447,-193,-100,231,208
3448,-222,-13,91,-299
3449,99,260,64,-289
3450,48,216,279,-261
3451,-153,-127,-175,50
3452,190,184,250,164
3453,-122,-217,72,141
3454,-56,-86,-273,189
3455,191,111,252,-23
3456,161,-216,-7,84
3457,-57,192,140,-152
3458,-92,-285,194,92
3459,222,-228,-26,-236
3460,284,-218,158,288
3461,-21,-91,142,256
3462,-145,272,-72,-65
3463,-70,-242,-30,-182
3464,-196,232,145,-186
3465,52,-58,91,226
3466,160,233,27,-297
3467,-19,-288,-279,-223
3468,160,99,-141,291
3469,-132,150,86,200
3470,209,-95,78,89
3471,268,89,-283,-187
3472,-227,-150,-107,116
3473,-200,277,-28,-279
3474,-64,100,-292,-270
3475,76,-176,-84,86
3476,119,93,-184,-258
3477,-18,255,-112,-117
3478,242,-265,-50,-81
3479,-167,-299,-95,266
3480,15,277,-229,12
3481,134,162,24,-68
3482,226,268,-196,112
3483,-125,268,-4,256
3484,149,125,-204,235
3485,-109,-153,14,-131
3486,-54,-170,-299,5
3487,57,-53,-268,-246
3488,-99,282,-247,175
3489,107,-96,-19,15
3490,-100,116,-201,-170
3491,18,192,-201,-85
3492,24,-135,0,-156
3493,-135,114,-39,202
3494,50,128,267,-202
3495,274,188,-27,63
3496,-252,-128,77,-22
3497,178,-164,216,-67
3498,186,115,-243,4
3499,117,17,-209,212
3500,77,83,-202,-149
3501,277,-11,-128,262
3502,236,102,70,-29
3503,289,-158,-196,-239
3504,125,8,-235,-43
3505,295,178,-267,-260
3506,-92,-88,-151,-141
3507,-291,-234,-127,-160
3508,25,226,270,-184
3509,-97,-75,-149,284
3510,-27,-250,-159,-215
3511,-163,-152,-75,202
3512,-198,-237,68,214
3513,-26,-76,-202,27
3514,167,134,-253,94
3515,-170,225,-146,-207
3516,-45,-32,296,-276
3517,85,-121,-111,179
3518,-151,22,-273,199
3519,113,56,-271,-108
3520,154,169,243,-134
3521,-11,-172,-200,234
3522,194,97,-259,132
3523,-249,295,246,-14
3524,1,-191,99,200
3525,83,34,-36,190
3526,226,-181,-289,183
3527,117,262,-135,-179
3528,-114,147,-272,-147
3529,-59,-263,-186,-230
3530,5,-39,-129,-55
3531,286,182,-247,-38
3532,142,-259,268,-177
3533,-101,-26,290,-11
3534,33,128,-244,-17
3535,21,269,267,-140
3536,-149,-41,-169,-288
3537,25,-209,53,-154
3538,-6,-97,-172,234
3539,115,282,-276,258
3540,-293,44,-147,-6
3541,-253,-180,-222,23
3542,61,109,209,-180
3543,-110,229,-271,-73
3544,-247,91,19,-51
3545,20,66,-83,57
3546,-61,248,268,205
3547,-23,-193,293,-254
3548,288,-55,93,120
3549,24,299,-252,-111
3550,176,-56,284,89
3551,221,247,119,141
3552,74,-161,-191,-3
3553,168,95,20,172
3554,127,-145,-55,-290
3555,263,36,237,-48
3556,249,-221,-71,-121
3557,69,-300,292,244
3558,273,5,276,122
3559,-300,67,48,129
3560,-255,-191,173,233
3561,-164,-253,-130,163
3562,62,293,77,-53
3563,-11,-238,-97,258
3564,-137,-167,-254,-118
3565,254,-38,173,52
3566,147,-237,83,150
3567,-1,52,27,-75
3568,-247,198,-234,-264
3569,-37,41,-115,189
3570,-265,-55,263,48
3571,-87,140,24,-28
3572,284,287,23,187
3573,147,-22,146,-264
3574,-5,189,54,-298
3575,71,187,294,-181
3576,-235,-155,296,-199
3577,-179,-186,100,-243
3578,281,-234,149,-84
3579,-30,102,-195,-181
3580,295,293,227,180
3581,249,45,-66,-26
3582,237,76,-35,103
3583,-60,145,23,-45
3584,123,112,-257,186
3585,22,-192,-37,-262
3586,-179,114,-225,131
3587,-261,125,-168,124
3588,152,-28,-281,144
3589,53,-63,192,239
3590,-214,-177,-224,-117
3591,175,-170,-254,71
3592,163,-138,-72,-279
3593,-239,-157,-175,230
3594,109,21,221,-190
3595,36,-123,-154,73
3596,211,189,74,-235
3597,246,172,-12,176
3598,113,248,266,164
3599,-217,-71,76,-232
3600,203,231,-248,49
3601,-18,-207,218,170
3602,237,126,100,-297
3603,-297,-185,76,-106
3604,-197,230,39,-272
3605,22,-134,11,-161
3606,-209,-286,299,-291
3607,-119,121,192,230
3608,-164,235,255,279
3609,-79,30,-88,-294
3610,216,274,216,218
3611,192,-200,211,15
3612,119,203,-143,109
3613,218,248,-275,-238
3614,109,179,43,130
3615,-85,184,190,-197
3616,-72,263,159,-199
3617,241,-18,61,-293
3618,-221,-262,-231,298
3619,-217,-276,-269,147
3620,-235,148,20,214
3621,189,32,-69,233
3622,-181,-166,-142,-240
3623,-15,-8,-104,69
3624,-201,-93,263,-200
3625,-164,-197,257,-126
3626,-91,29,-207,-297
3627,-171,-78,282,114
3628,115,214,221,-139
3629,-15,196,23,-258
3630,34,-241,95,263
3631,37,77,-244,92
3632,142,-233,-248,-55
3633,4,-174,54,202
3634,27,-11,138,275
3635,-132,-119,101,-217
3636,-111,21,-123,-288
3637,-264,-207,149,279
3638,176,240,-267,120
3639,-212,30,238,86
3640,-116,264,95,246
3641,-264,-151,-130,100
3642,124,-183,39,-293
3643,163,-7,143,96
3644,121,187,-266,114
3645,-42,174,-130,-156
3646,-185,-156,-206,211
3647,65,110,251,92
3648,-138,-142,40,-101
3649,83,-235,-229,26
3650,-112,285,-150,100
3651,-255,264,-232,-93
3652,193,-158,-221,-68
3653,296,-201,-26,-236
3654,130,250,-6,-238
3655,-39,2,-59,-292
3656,122,-3,116,-6
3657,145,-263,193,-21
3658,-278,136,-11,-101
3659,-21,172,164,-175
3660,-248,8,201,221
3661,286,-75,56,-72
3662,3,-222,125,65
3663,-103,238,-125,48
3664,78,17,-132,265
3665,-11,299,-151,42
3666,-289,-163,-282,111
3667,80,-84,-9,-10
3668,-193,-72,64,137
3669,150,-40,278,-221
3670,16,238,-71,-183
3671,160,298,284,-121
3672,-76,-65,299,111
3673,-270,-77,-247,-297
3674,-109,-70,13,71
3675,199,174,185,150
3676,-293,-9,171,289
3677,182,-273,288,-25
3678,-227,-237,-131,-289
3679,255,147,24,183
3680,-225,-29,-31,-17
3681,-198,-61,-66,-181
3682,104,-7,-165,-295
3683,-67,82,-97,52
3684,-143,175,-161,-153
3685,-271,123,-296,-70
3686,-150,-146,-252,15
3687,-291,-125,-11,73
3688,-23,130,257,255
3689,94,286,247,259
3690,-31,148,-287,-22
3691,52,112,230,-174
3692,157,82,-76,295
3693,-139,159,-286,-170
3694,-281,-161,-30,-62
3695,-33,141,-292,-61
3696,-111,-280,-261,114
3697,-2,173,-127,292
3698,92,-124,170,-95
3699,163,109,-60,-200
3700,-5,-50,-53,15
3701,110,-36,-212,-4
3702,32,-189,116,288
3703,-251,-80,-186,-202
3704,-236,-146,-173,297
3705,-160,13,-85,-81
3706,160,113,299,-54
3707,-148,-95,-189,27
3708,238,55,-182,186
3709,-82,-73,263,-82
3710,21,-36,181,32
3711,160,234,-153,-157
3712,138,166,207,173
3713,89,6,292,-292
3714,202,121,-136,-223
3715,89,131,-194,-135
3716,151,-146,-294,210
3717,-283,-219,-195,-263
3718,-162,231,-218,233
3719,290,264,-146,-263
3720,288,91,150,-70
3721,188,88,-195,-194
3722,-279,39,239,-50
3723,-154,102,-109,26
3724,-113,213,-247,272
3725,145,-64,42,127
3726,-137,155,167,212
3727,-142,231,184,-256
3728,-115,36,-219,-124
3729,-194,-144,-257,-267
3730,-120,272,203,-221
3731,-157,-18,-147,5
3732,-135,-295,272,-126
3733,221,-109,-283,45
3734,136,-162,282,216
3735,278,-38,-72,21
3736,-24,-279,-294,-125
3737,91,1,225,-289
3738,72,294,-21,93
3739,-20,-283,35,-256
3740,217,-250,138,-232
3741,-13,-300,-214,-2
3742,-135,86,278,-239
3743,-21,-27,230,269
3744,69,-126,132,298
3745,-29,196,2,207
3746,-139,269,166,-268
3747,-216,-260,-104,31
3748,34,-182,-276,-107
3749,249,-290,-169,95
3750,22,64,31,251
3751,-139,-213,-57,80
3752,-230,-68,-91,-248
3753,80,195,285,-234
3754,-230,48,127,241
3755,230,88,-43,73
3756,-12,270,-79,-7
3757,128,180,85,152
3758,-177,23,143,176
3759,-274,-215,-294,20
3760,242,100,178,-89
3761,131,229,130,269
3762,88,202,277,95
3763,-84,49,-50,170
3764,-209,-105,155,284
3765,97,198,11,96
3766,-122,-35,284,-90
3767,296,-13,122,39
3768,-252,-204,21,-280
3769,214,-231,-13,-219
3770,-61,110,-54,51
3771,65,-28,-158,-8
3772,49,-121,298,239
3773,154,-261,123,-240
3774,-202,23,163,-207
3775,-37,207,136,52
3776,-265,-124,-155,4
3777,24,5,-192,-292
3778,112,-17,64,-119
3779,-111,35,-208,104
3780,-221,93,287,266
3781,34,6,98,115
3782,-288,-186,-114,-215
3783,14,-257,-18,-134
3784,64,92,17,-296
3785,285,234,112,-111
3786,-72,238,59,212
3787,-34,191,-284,97
3788,-291,292,228,-125
3789,178,57,-11,-291
3790,-280,255,-179,-72
3791,-76,-268,59,87
3792,243,113,175,-227
3793,276,-65,-34,-121
3794,-165,286,-232,42
3795,-114,6,180,101
3796,299,-277,-178,220
3797,-281,-58,281,132
3798,107,-264,-3,229
3799,91,112,264,162
3800,-164,289,-90,-174
3801,-206,172,-80,-220
3802,264,61,-194,11
3803,-163,-137,-207,-22
3804,63,-178,-220,154
3805,94,291,-87,-64
3806,-296,204,206,-42
3807,88,8,28,269
3808,-172,20,10,106
3809,177,273,127,-137
3810,-185,-35,-65,-133
3811,-79,-14,-49,-21
3812,123,-161,299,258
3813,-227,-188,-154,-85
3814,-53,40,201,156
3815,-62,3,172,160
3816,260,-43,174,261
3817,-107,-78,-50,56
3818,144,-20,-247,281
3819,-208,-144,-97,153
3820,107,134,87,282
3821,-207,-159,-245,214
3822,-266,-68,-84,294
3823,90,-182,36,-56
3824,287,210,174,-157
3825,-97,122,-70,-266
3826,274,-260,-96,47
3827,122,-246,-160,229
3828,-51,168,-52,148
3829,-143,214,-212,250
3830,211,-55,-217,83
3831,221,86,-250,115
3832,267,128,253,-212
3833,-75,293,-155,96
3834,211,161,119,-143
3835,104,-39,-112,-256
3836,147,-46,-37,49
3837,90,-237,-65,26
3838,-6,139,-290,118
3839,-257,-299,-283,80
3840,53,68,-170,105
3841,25,-155,278,-39
3842,-287,-110,-148,-4
3843,-97,-238,-273,128
3844,-244,268,-264,-85
3845,171,-8,112,61
3846,236,23,12,-122
3847,-281,-123,262,-152
3848,296,153,183,161
3849,49,-210,220,-203
3850,-22,195,9,78
3851,-25,-176,190,294
3852,203,-80,170,-265
3853,146,-280,38,197
3854,273,135,-132,-8
3855,59,273,73,257
3856,-119,281,285,280
3857,-110,-34,289,112
3858,-45,288,-110,71
3859,19,-275,-285,131
3860,-276,27,34,71
3861,-2,67,297,-183
3862,54,-133,243,104
3863,-243,48,58,-19
3864,-30,35,-106,151
3865,-280,-265,26,-63
3866,-274,-223,253,-176
3867,93,100,264,-259
3868,-81,-5,212,97
3869,-83,238,159,26
3870,220,210,73,-92
3871,220,37,-35,-48
3872,115,-12,-198,-85
3873,121,199,52,-43
3874,152,-30,274,12
3875,-49,-181,-129,-233
3876,-106,-298,50,-264
3877,245,-249,-199,-221
3878,127,-186,-205,20
3879,-231,105,-126,-160
3880,242,35,294,189
3881,-269,-51,143,-44
3882,21,10,-4,146
3883,-129,-253,6,25
3884,190,250,-51,-101
3885,-64,-65,4,202
3886,-18,169,214,-114
3887,-267,-25,-9,156
3888,248,116,-160,-296
3889,80,199,-13,-182
3890,296,188,262,-204
3891,216,102,208,-205
3892,167,-45,263,194
3893,110,-93,-15,-38
3894,-84,-211,35,-211
3895,-193,-170,143,100
3896,67,218,-200,258
3897,180,-21,-166,-58
3898,-59,236,109,4
3899,-137,5,89,195
3900,-129,-272,76,3
3901,222,219,103,-96
3902,-289,-143,-162,-264
3903,191,-245,-77,226
3904,180,132,-237,90
3905,261,38,73,271
3906,-76,0,48,37
3907,112,194,-72,-42
3908,240,-200,-25,-199
3909,-167,43,97,242
3910,-174,8,116,236
3911,-230,150,-6,-291
3912,99,-219,-263,-164
3913,-273,-293,82,82
3914,106,-212,-134,176
3915,-191,-175,-213,288
3916,-34,53,13,211
3917,-269,-11,-26,33
3918,-213,-4,61,-73
3919,227,-44,-74,291
3920,152,11,-154,-182
3921,-223,266,-92,74
3922,68,242,-145,214
3923,-130,196,50,260
3924,280,44,18,-203
3925,-219,-210,-97,175
3926,-22,266,221,84
3927,-270,178,-175,-2
3928,-235,34,14,-197
3929,-288,227,-242,199
3930,-60,-33,252,-126
3931,8,-88,-50,-285
3932,144,266,-170,-152
3933,-265,31,-164,224
3934,-25,58,-155,-28
3935,283,-39,-1,-72
3936,225,36,293,96
3937,-4,278,-166,-103
3938,-62,226,5,94
3939,-2,-131,77,-142
3940,122,42,58,-73
3941,-213,-19,-19,0
3942,-166,264,286,262
3943,41,-118,-154,90
3944,46,71,-147,284
3945,-209,-298,218,165
3946,219,32,-16,-95
3947,87,227,-22,-280
3948,-117,92,254,105
3949,142,149,60,-24
3950,279,-231,75,137
3951,20,-34,231,-20
3952,-238,213,-285,-295
3953,274,140,-141,-118
3954,146,217,-154,22
3955,-237,-198,-12,-262
3956,-213,-7,36,-164
3957,-150,-134,188,-63
3958,-196,-125,-228,105
3959,101,92,224,13
3960,-277,212,56,-117
3961,-81,-251,286,149
3962,-5,183,100,-29
3963,-214,128,42,-12
3964,-221,-177,-130,90
3965,157,-87,59,-188
3966,272,-151,85,85
3967,179,52,56,100
3968,-207,50,178,-182
3969,-25,146,-257,-91
3970,298,-33,47,29
3971,56,-11,-93,176
3972,-283,-268,-230,119
3973,251,243,-27,-136
3974,-100,-182,151,205
3975,-5,-277,-232,-66
3976,-9,-182,-252,147
3977,97,-117,-261,134
3978,220,95,195,-249
3979,-109,-221,246,-143
3980,-5,-175,240,226
3981,240,-2,32,-216
3982,-135,-183,57,206
3983,-51,240,296,-104
3984,222,164,-290,101
3985,-61,-8,127,141
3986,-296,-173,-138,53
3987,28,247,-271,-61
3988,74,-156,-284,157
3989,65,-219,275,-293
3990,-12,-92,260,147
3991,189,177,-165,86
3992,-271,194,-8,-195
3993,-138,-114,43,61
3994,281,-24,-190,-238
3995,253,232,-267,-170
3996,226,-256,-128,264
3997,107,215,90,-33
3998,-49,-55,158,-70
3999,283,-86,-195,161
4000,224,45,221,138
4001,254,189,-48,260
4002,-10,-235,266,116
4003,-10,-25,92,-293
4004,-148,-53,-235,-116
4005,103,251,257,299
4006,-44,-175,197,-16
4007,145,215,-22,206
4008,-28,149,-276,183
4009,-169,-125,233,299
4010,-36,112,-40,143
4011,-149,63,-212,-47
4012,-202,117,73,-236
4013,-227,88,187,-95
4014,154,18,291,-288
4015,8,-34,67,144
4016,188,-4,245,-167
4017,-143,161,177,-132
4018,-64,-94,-279,-208
4019,-67,245,-83,128
4020,2,-140,-45,229
4021,-157,158,-12,224
4022,-213,-69,181,-72
4023,245,279,89,-106
4024,-82,-279,184,-32
4025,108,233,-40,-142
4026,-195,150,191,-289
4027,249,-289,-5,100
4028,-132,102,-46,15
4029,-166,-40,-190,-35
4030,229,-162,187,-143
4031,209,4,16,281
4032,-90,86,114,90
4033,-240,-252,211,-14
4034,-288,283,91,190
4035,-69,64,-240,196
4036,-287,92,111,-179
4037,274,86,-205,12
4038,74,-117,198,292
4039,-297,-279,-167,-253
4040,44,-298,-58,-298
4041,-151,-277,295,-249
4042,-15,275,113,-180
4043,43,161,-50,256
4044,-224,141,26,-233
4045,115,78,-225,75
4046,16,141,-83,-156
4047,182,271,-27,-75
4048,-240,-126,43,299
4049,-285,206,183,-268
4050,-2,-20,-179,-81
4051,-291,213,116,39
4052,172,-300,75,-87
4053,294,-51,-121,121
4054,-138,-166,225,284
4055,-270,201,237,-248
4056,-279,52,-19,-278
4057,-222,-48,-81,133
4058,184,220,185,225
4059,-281,83,272,-160
4060,-42,-27,176,1
4061,-191,239,163,171
4062,-230,-176,56,-157
4063,-60,-45,0,-104
4064,15,13,-266,-254
4065,228,-261,-272,281
4066,208,195,91,132
4067,-16,87,195,199
4068,37,55,-57,-26
4069,166,180,-287,-280
4070,171,54,-198,68
4071,-97,-101,-242,243
4072,8,-246,222,-117
4073,63,-277,39,62
4074,-277,-15,-18,56
4075,46,265,13,-133
4076,203,-24,-62,1
4077,-138,26,-257,174
4078,185,226,276,109
4079,-190,-9,16,-69
4080,156,-109,-250,192
4081,3,146,56,119
4082,-233,250,124,-147
4083,210,-73,-29,-188
4084,-293,240,-91,55
4085,-176,-153,-252,-35
4086,273,-37,257,288
4087,-188,65,-46,258
4088,-222,160,271,-226
4089,-238,-4,-219,-199
4090,282,-2,160,287
4091,201,35,-148,211
4092,-245,83,68,120
4093,-291,-185,282,-162
4094,91,60,-59,-146
4095,-88,235,27,-132
4096,180,267,184,-104
4097,259,-236,-88,-226
4098,54,-246,-93,46
4099,-212,-294,-85,-169
4100,-68,-238,299,-257
4101,-112,-151,-291,-279
4102,15,-31,-140,240
4103,-177,36,283,-185
4104,88,-141,269,85
4105,165,-74,100,-37
4106,136,-93,-97,232
4107,284,-96,-4,132
4108,-76,171,-225,178
4109,91,226,102,-57
4110,-187,159,-165,279
4111,-118,-8,36,117
4112,-229,-69,19,289
4113,197,226,149,221
4114,237,-188,23,-166
4115,271,95,-179,-272
4116,-274,33,152,-34
4117,-263,76,-27,150
4118,-213,159,-208,64
4119,220,27,-227,-164
4120,-36,-235,297,-139
4121,26,-253,182,282
4122,-24,135,249,64
4123,30,-72,-207,275
4124,190,-226,-145,162
4125,-38,-21,-262,153
4126,-79,3,259,-64
4127,-240,-246,-14,9
4128,-105,19,285,-48
4129,-265,230,-175,-134
4130,-181,296,225,-69
4131,-202,14,-76,212
4132,276,188,-103,273
4133,-263,111,-300,132
4134,-128,169,-111,93
4135,80,167,52,-6
4136,-79,-279,111,5
4137,167,68,-235,159
4138,51,-26,127,-178
4139,186,-110,-260,27
4140,-249,-126,152,-193
4141,109,-109,-136,98
4142,160,-256,46,-200
4143,278,138,147,185
4144,272,-164,36,57
4145,-32,-115,167,239
4146,15,-107,-259,152
4147,234,25,-115,-101
4148,-129,-182,-138,47
4149,-207,17,41,-227
4150,-267,-127,75,-109
4151,205,-36,59,-216
4152,208,-197,-155,223
4153,-211,-111,-296,8
4154,231,207,50,-61
4155,-27,155,-97,-193
4156,254,185,290,91
4157,-145,206,-124,-269
4158,-245,-238,-56,214
4159,-197,209,37,117
4160,-224,-225,-60,-51
4161,27,61,190,251
4162,233,-219,118,-88
4163,-123,132,219,-124
4164,188,-56,223,82
4165,161,175,53,-63
4166,90,247,177,-284
4167,189,290,-130,-109
4168,167,-172,171,235
4169,-7,-213,-216,-96
4170,272,-257,39,113
4171,-140,-144,226,223
4172,-252,-217,48,198
4173,-71,-273,-188,142
4174,50,-149,178,55
4175,-26,-54,-161,11
4176,94,-146,-216,193
4177,-292,130,-249,-53
4178,131,20,-94,-268
4179,236,-16,33,-127
4180,90,-11,-174,137
4181,-100,4,-59,-192
4182,-229,-2,-27,270
4183,-219,-95,138,220
4184,-187,146,-23,-86
4185,259,-278,-256,-121
4186,61,-247,217,169
4187,-195,-92,233,-133
4188,206,234,-208,197
4189,-288,-248,-119,134
4190,-5,204,206,-10
4191,189,-82,-78,-95
4192,-22,42,-140,232
4193,-64,214,86,5
4194,-116,-208,-93,70
4195,-279,-228,-65,60
4196,-32,-15,-146,111
4197,-201,-89,243,153
4198,162,275,55,-81
4199,-149,251,247,0
4200,232,136,-114,26
4201,-240,111,190,169
4202,143,-78,-90,95
4203,41,-250,201,-273
4204,7,268,-180,3
4205,-165,-155,228,-293
4206,-14,-189,-100,-44
4207,-51,10,140,201
4208,-33,96,292,-166
4209,-185,-21,280,21
4210,-278,250,-142,211
4211,132,272,236,-273
4212,287,33,250,216
4213,253,181,123,-193
4214,278,-21,281,-251
4215,-176,36,-176,192
4216,206,250,62,-93
4217,-224,-15,-146,118
4218,119,235,199,-141
4219,166,163,-192,-143
4220,8,154,240,177
4221,166,34,-73,-24
4222,110,37,122,49
4223,60,-247,-112,109
4224,-36,282,-18,29
4225,-220,-196,77,-35
4226,202,244,19,-37
4227,-51,124,148,110
4228,229,-94,-193,-134
4229,-200,44,-94,-55
4230,-261,294,286,-89
4231,62,139,-261,-105
4232,49,-13,299,-195
4233,284,-262,23,58
4234,-148,245,-15,44
4235,260,-67,84,-228
4236,-18,-83,112,35
4237,-170,-230,144,237
4238,-133,118,-60,20
4239,124,65,245,-93
4240,247,195,173,-164
4241,297,136,-111,-205
4242,-129,-287,-14,224
4243,10,-294,-46,294
4244,231,156,256,-56
4245,-275,-2,252,168
4246,273,191,207,84
4247,-248,-107,69,84
4248,-170,-46,-248,-175
4249,-139,45,-293,220
4250,-102,144,-247,-88
4251,47,0,-223,110
4252,-85,-44,-253,82
4253,8,139,289,253
4254,98,108,-219,187
4255,145,-15,-168,104
4256,57,246,160,-244
4257,20,-101,99,154
4258,-161,17,98,251
4259,-274,-263,113,182
4260,212,128,-291,-288
4261,-300,-68,108,96
4262,-38,156,137,157
4263,-256,120,288,164
4264,185,-235,-125,-125
4265,-101,-210,289,69
4266,274,-98,226,145
4267,-196,172,-144,-274
4268,-154,51,-159,-255
4269,187,19,255,-181
4270,-82,97,-114,-280
4271,-33,128,81,-298
4272,-247,-83,-154,147
4273,161,172,279,-212
4274,84,83,210,147
4275,-243,-94,73,133
4276,29,-140,-232,-81
4277,166,210,-153,185
4278,-83,-91,-8,-35
4279,-260,278,-81,-228
4280,-101,-88,-233,208
4281,-83,-115,-19,65
4282,228,32,270,-210
4283,-97,-31,-249,145
4284,-33,184,247,-227
4285,128,-259,-58,-220
4286,85,222,-23,148
4287,173,-96,164,-7
4288,294,-133,-121,0
4289,80,-206,-22,-16
4290,61,-252,-283,63
4291,28,-269,-113,-33
4292,185,-135,-2,166
4293,94,-4,-200,269
4294,-65,78,290,-111
4295,284,-54,-98,-145
4296,-22,239,234,287
4297,-129,-263,170,-116
4298,146,257,-288,101
4299,139,30,221,-198
4300,63,-231,139,-52
4301,-226,-44,-68,-264
4302,245,-35,-168,64
4303,-183,90,-250,-15
4304,154,232,-237,-101
4305,-96,-286,-36,-6
4306,-177,-226,-75,68
4307,-281,-36,224,-222
4308,237,-215,129,141
4309,108,236,197,216
4310,-96,-262,224,-149
4311,131,-51,-263,270
4312,2,43,-299,-59
4313,-230,88,-299,-267
4314,-73,43,236,-170
4315,46,291,287,36
4316,-167,223,-230,-35
4317,-240,19,-206,-82
4318,-202,-59,-121,36
4319,180,54,202,-185
4320,221,-284,136,215
4321,-93,69,-198,-280
4322,-197,-151,214,-149
4323,199,-224,-82,-277
4324,-18,-198,127,-291
4325,-116,72,-96,-110
4326,92,231,-50,-114
4327,-281,-53,-237,-157
4328,-285,212,-140,-229
4329,62,-253,-149,25
4330,-213,158,206,-231
4331,-45,157,-300,-194
4332,147,62,-165,-140
4333,184,-277,34,216
4334,-176,-168,-196,200
4335,-5,-165,272,-256
4336,27,-218,148,-182
4337,284,-116,-294,87
4338,9,1,-84,106
4339,127,-70,-68,-116
4340,-70,-237,61,183
4341,-145,-27,-279,270
4342,1,12,203,-179
4343,-13,104,-19,66
4344,87,157,-257,132
4345,-186,-289,-74,127
4346,205,-21,-36,-40
4347,-148,117,-89,-51
4348,253,80,54,266
4349,-261,4,217,-259
4350,121,-87,45,188
4351,-247,234,-258,184
4352,154,19,-49,-219
4353,-154,-6,154,-10
4354,199,125,-209,-221
4355,145,-13,100,-164
4356,77,-246,171,-218
4357,-106,250,2,-137
4358,261,247,-162,249
4359,-78,-74,-33,-27
4360,84,59,68,61
4361,106,230,197,65
4362,-175,-150,132,26
4363,-112,295,98,139
4364,-294,283,60,-227
4365,81,-88,-181,-272
4366,287,-134,-177,204
4367,-121,274,24,242
4368,61,-256,-113,197
4369,-51,-72,103,207
4370,289,215,-195,-208
4371,-55,-16,-152,-20
4372,111,199,-237,174
4373,-179,36,217,20
4374,33,249,-201,116
4375,121,-139,40,-145
4376,144,-31,174,-103
4377,268,-7,-65,138
4378,-92,151,10,-295
4379,-168,23,52,285
4380,207,-73,287,243
4381,-125,199,250,10
4382,-233,70,199,148
4383,204,141,180,233
4384,166,-67,-275,-227
4385,-39,-153,-290,262
4386,294,-210,7,-177
4387,-134,43,286,-298
4388,54,97,-257,36
4389,-295,138,-238,183
4390,-167,24,19,-276
4391,220,-76,40,14
4392,-31,201,-188,137
4393,243,-137,-163,-186
4394,-204,255,25,-268
4395,104,253,-158,215
4396,-151,-291,-225,-149
4397,67,280,284,284
4398,257,-134,236,127
4399,-210,131,-59,-101
4400,-243,98,68,-183
4401,39,-126,25,-56
4402,-6,231,149,93
4403,-248,-161,-193,55
4404,-171,15,-156,159
4405,124,1,-215,-139
4406,269,11,-257,-178
4407,-184,-17,-216,-253
4408,-248,-125,-19,200
4409,-96,4,224,210
4410,6,-12,157,168
4411,-224,72,-292,-100
4412,-181,-275,-48,264
4413,268,136,106,-235
4414,111,270,-150,15
4415,76,-126,72,-34
4416,276,177,-224,-30
4417,138,-117,153,23
4418,144,-135,-44,126
4419,-284,-32,-89,258
4420,-64,-206,-90,0
4421,-260,262,117,-149
4422,198,94,-26,34
4423,163,-282,-211,98
4424,-300,-216,-47,-255
4425,-277,101,186,79
4426,-172,-161,200,-248
4427,-19,263,217,-188
4428,26,-231,-18,-193
4429,51,291,53,-92
4430,-202,19,-248,218
4431,27,-88,-296,292
4432,18,-286,286,-56
4433,-153,32,-48,-290
4434,-166,110,241,-19
4435,209,-236,-83,94
4436,149,-173,299,-209
4437,-298,272,-211,34
4438,-168,7,76,-51
4439,-239,247,-129,-242
4440,-296,212,229,-268
4441,-68,-215,298,-244
4442,194,58,-121,32
4443,250,-257,-6,235
4444,196,-183,153,-104
4445,-121,-142,127,96
4446,-65,-124,144,68
4447,-90,-244,-12,170
4448,77,147,-28,-146
4449,124,26,116,160
4450,-160,-67,113,169
4451,-184,-266,-194,264
4452,163,-86,181,98
4453,-191,-233,16,262
4454,125,-164,-136,132
4455,-281,-156,273,66
4456,38,212,-10,-236
4457,-30,-204,113,191
4458,-135,-149,210,-215
4459,203,155,116,116
4460,111,271,-132,33
4461,104,-258,-120,-230
4462,-275,-202,-39,-159
4463,-102,188,-170,4
4464,191,-288,-287,-167
4465,119,-196,218,-156
4466,-159,203,291,-137
4467,-18,-278,250,127
4468,193,4,238,-261
4469,-126,-196,-16,-189
4470,-149,73,-294,107
4471,150,149,-276,-23
4472,-287,281,-20,-28
4473,250,242,-186,-296
4474,113,198,279,-15
4475,241,207,-7,-22
4476,-136,201,-65,-206
4477,18,268,262,58
4478,188,-178,69,191
4479,-119,-98,268,253
4480,-85,291,-227,42
4481,-196,114,-266,-42
4482,-47,-13,99,-143
4483,276,180,-153,-229
4484,-39,144,129,-281
4485,-265,-255,287,-211
4486,282,30,-131,-262
4487,181,-23,-9,226
4488,132,-291,-2,-164
4489,-261,180,7,232
4490,-261,131,-4,199
4491,33,152,-190,-150
4492,270,-152,-106,-76
4493,-130,-96,-138,-268
4494,217,-247,161,145
4495,161,-207,117,-116
4496,-87,88,-178,219
4497,-89,-277,24,255
4498,298,-106,3,160
4499,-27,-172,-170,-276
4500,-271,188,-229,119
4501,211,62,-277,170
4502,-205,-236,-251,183
4503,155,283,-255,-66
4504,-210,107,-261,127
4505,253,65,244,123
4506,-10,-161,-268,101
